order_item_id,order_id,product_id,quantity,price_per_unit
1,1,1,1,199.99
2,2,61,1,999.99
3,3,13,1,799.99
4,4,94,1,149.99
5,5,43,1,2099.99
6,6,53,1,1899.99
7,7,43,1,2099.99
8,8,2,1,549.99
9,9,65,1,1199.99
10,10,52,1,1799.99
11,11,68,1,1299.99
12,12,16,1,699.99
13,13,57,1,699.99
14,14,95,1,499.99
15,15,75,1,399.99
16,16,52,1,1799.99
17,17,32,1,179.99
18,18,5,1,249.99
19,19,12,1,599.99
20,20,36,1,399.99
21,21,90,1,3899.99
22,22,23,1,1299.99
23,23,16,1,699.99
24,24,86,1,329.99
25,25,21,1,999.99
26,26,94,1,149.99
27,27,48,1,1999.99
28,28,57,1,699.99
29,29,51,1,2099.99
30,30,78,1,799.99
31,31,74,1,399.99
32,32,87,1,999.99
33,33,5,1,249.99
34,34,69,1,1799.99
35,35,23,1,1299.99
36,36,9,1,449.99
37,37,44,1,599.99
38,38,66,1,849.99
39,39,26,1,2499.99
40,40,53,1,1899.99
41,41,92,1,349.99
42,42,19,1,999.99
43,43,45,1,1499.99
44,44,4,1,249.99
45,45,92,1,349.99
46,46,98,1,2299.99
47,47,83,1,699.99
48,48,76,1,279.99
49,49,59,1,1199.99
50,50,53,1,1899.99
51,51,35,1,279.99
52,52,80,1,1299.99
53,53,3,1,249.99
54,54,91,1,1099.99
55,55,86,1,329.99
56,56,65,1,1199.99
57,57,61,1,999.99
58,58,80,1,1299.99
59,59,13,1,799.99
60,60,11,1,649.99
61,61,95,1,499.99
62,62,82,1,699.99
63,63,59,1,1199.99
64,64,55,1,649.99
65,65,20,1,999.99
66,66,21,1,999.99
67,67,50,1,999.99
68,68,14,1,999.99
69,69,88,1,349.99
70,70,32,1,179.99
71,71,88,1,349.99
72,72,41,1,899.99
73,73,14,1,999.99
74,74,6,1,1299.99
75,75,91,1,1099.99
76,76,67,1,279.99
77,77,56,1,1799.99
78,78,68,1,1299.99
79,79,35,1,279.99
80,80,33,1,149.99
81,81,16,1,699.99
82,82,15,1,1099.99
83,83,91,1,1099.99
84,84,38,1,799.99
85,85,44,1,599.99
86,86,64,1,249.99
87,87,88,1,349.99
88,88,48,1,1999.99
89,89,36,1,399.99
90,90,66,1,849.99
91,91,55,1,649.99
92,92,67,1,279.99
93,93,60,1,1299.99
94,94,52,1,1799.99
95,95,50,1,999.99
96,96,42,1,719.99
97,97,15,1,1099.99
98,98,81,1,299.99
99,99,27,1,149.99
100,100,99,1,599.99
101,101,82,1,699.99
102,102,41,1,899.99
103,103,14,1,999.99
104,104,44,1,599.99
105,105,39,1,1199.99
106,106,91,1,1099.99
107,107,9,1,449.99
108,108,79,1,999.99
109,109,90,1,3899.99
110,110,84,1,1799.99
111,111,25,1,2499.99
112,112,86,1,329.99
113,113,33,1,149.99
114,114,82,1,699.99
115,115,49,1,1399.99
116,116,45,1,1499.99
117,117,31,1,179.99
118,118,8,1,4999.99
119,119,69,1,1799.99
120,120,66,1,849.99
121,121,95,1,499.99
122,122,46,1,1699.99
123,123,50,1,999.99
124,124,18,1,799.99
125,125,83,1,699.99
126,126,96,1,219.99
127,127,9,1,449.99
128,128,6,1,1299.99
129,129,24,1,1999.99
130,130,35,1,279.99
131,131,83,1,699.99
132,132,86,1,329.99
133,133,59,1,1199.99
134,134,92,1,349.99
135,135,88,1,349.99
136,136,94,1,149.99
137,137,39,1,1199.99
138,138,65,1,1199.99
139,139,15,1,1099.99
140,140,89,1,299.99
141,141,43,1,2099.99
142,142,87,1,999.99
143,143,58,1,249.99
144,144,82,1,699.99
145,145,78,1,799.99
146,146,26,1,2499.99
147,147,45,1,1499.99
148,148,93,1,1799.99
149,149,24,1,1999.99
150,150,13,1,799.99
151,151,81,1,299.99
152,152,28,1,149.99
153,153,63,1,499.99
154,154,92,1,349.99
155,155,28,1,149.99
156,156,75,1,399.99
157,157,13,1,799.99
158,158,87,1,999.99
159,159,45,1,1499.99
160,160,34,1,279.99
161,161,70,1,399.99
162,162,43,1,2099.99
163,163,63,1,499.99
164,164,33,1,149.99
165,165,20,1,999.99
166,166,69,1,1799.99
167,167,3,1,249.99
168,168,94,1,149.99
169,169,8,1,4999.99
170,170,43,1,2099.99
171,171,51,1,2099.99
172,172,43,1,2099.99
173,173,24,1,1999.99
174,174,67,1,279.99
175,175,3,1,249.99
176,176,79,1,999.99
177,177,32,1,179.99
178,178,78,1,799.99
179,179,82,1,699.99
180,180,35,1,279.99
181,181,73,1,999.99
182,182,65,1,1199.99
183,183,65,1,1199.99
184,184,71,1,1499.99
185,185,95,1,499.99
186,186,13,1,799.99
187,187,52,1,1799.99
188,188,83,1,699.99
189,189,64,1,249.99
190,190,76,1,279.99
191,191,77,1,499.99
192,192,68,1,1299.99
193,193,23,1,1299.99
194,194,54,1,1299.99
195,195,58,1,249.99
196,196,48,1,1999.99
197,197,25,1,2499.99
198,198,3,1,249.99
199,199,66,1,849.99
200,200,78,1,799.99
201,201,94,1,149.99
202,202,28,1,149.99
203,203,82,1,699.99
204,204,99,1,599.99
205,205,45,1,1499.99
206,206,35,1,279.99
207,207,45,1,1499.99
208,208,68,1,1299.99
209,209,61,1,999.99
210,210,18,1,799.99
211,211,4,1,249.99
212,212,25,1,2499.99
213,213,96,1,219.99
214,214,97,1,1299.99
215,215,96,1,219.99
216,216,70,1,399.99
217,217,86,1,329.99
218,218,5,1,249.99
219,219,71,1,1499.99
220,220,48,1,1999.99
221,221,91,1,1099.99
222,222,93,1,1799.99
223,223,26,1,2499.99
224,224,8,1,4999.99
225,225,25,1,2499.99
226,226,4,1,249.99
227,227,27,1,149.99
228,228,7,1,1799.99
229,229,14,1,999.99
230,230,35,1,279.99
231,231,79,1,999.99
232,232,70,1,399.99
233,233,53,1,1899.99
234,234,4,1,249.99
235,235,33,1,149.99
236,236,12,1,599.99
237,237,7,1,1799.99
238,238,13,1,799.99
239,239,91,1,1099.99
240,240,29,1,79.99
241,241,61,1,999.99
242,242,97,1,1299.99
243,243,98,1,2299.99
244,244,28,1,149.99
245,245,19,1,999.99
246,246,41,1,899.99
247,247,3,1,249.99
248,248,50,1,999.99
249,249,46,1,1699.99
250,250,20,1,999.99
251,251,80,1,1299.99
252,252,77,1,499.99
253,253,43,1,2099.99
254,254,43,1,2099.99
255,255,99,1,599.99
256,256,10,1,329.99
257,257,65,1,1199.99
258,258,57,1,699.99
259,259,64,1,249.99
260,260,56,1,1799.99
261,261,23,1,1299.99
262,262,84,1,1799.99
263,263,7,1,1799.99
264,264,26,1,2499.99
265,265,40,1,2499.99
266,266,65,1,1199.99
267,267,74,1,399.99
268,268,79,1,999.99
269,269,61,1,999.99
270,270,66,1,849.99
271,271,53,1,1899.99
272,272,77,1,499.99
273,273,93,1,1799.99
274,274,4,1,249.99
275,275,97,1,1299.99
276,276,75,1,399.99
277,277,43,1,2099.99
278,278,36,1,399.99
279,279,33,1,149.99
280,280,30,1,129.99
281,281,25,1,2499.99
282,282,27,1,149.99
283,283,58,1,249.99
284,284,31,1,179.99
285,285,2,1,549.99
286,286,37,1,399.99
287,287,32,1,179.99
288,288,7,1,1799.99
289,289,52,1,1799.99
290,290,72,1,169.99
291,291,26,1,2499.99
292,292,10,1,329.99
293,293,45,1,1499.99
294,294,70,1,399.99
295,295,69,1,1799.99
296,296,29,1,79.99
297,297,24,1,1999.99
298,298,58,1,249.99
299,299,32,1,179.99
300,300,91,1,1099.99
301,301,12,1,599.99
302,302,1,1,199.99
303,303,42,1,719.99
304,304,96,1,219.99
305,305,88,1,349.99
306,306,98,1,2299.99
307,307,62,1,399.99
308,308,39,1,1199.99
309,309,15,1,1099.99
310,310,58,1,249.99
311,311,89,1,299.99
312,312,64,1,249.99
313,313,47,1,999.99
314,314,29,1,79.99
315,315,40,1,2499.99
316,316,18,1,799.99
317,317,17,1,699.99
318,318,15,1,1099.99
319,319,5,1,249.99
320,320,26,1,2499.99
321,321,35,1,279.99
322,322,35,1,279.99
323,323,50,1,999.99
324,324,79,1,999.99
325,325,32,1,179.99
326,326,26,1,2499.99
327,327,89,1,299.99
328,328,99,1,599.99
329,329,97,1,1299.99
330,330,99,1,599.99
331,331,79,1,999.99
332,332,33,1,149.99
333,333,10,1,329.99
334,334,57,1,699.99
335,335,78,1,799.99
336,336,47,1,999.99
337,337,52,1,1799.99
338,338,76,1,279.99
339,339,65,1,1199.99
340,340,83,1,699.99
341,341,70,1,399.99
342,342,1,1,199.99
343,343,17,1,699.99
344,344,88,1,349.99
345,345,96,1,219.99
346,346,18,1,799.99
347,347,94,1,149.99
348,348,69,1,1799.99
349,349,55,1,649.99
350,350,39,1,1199.99
351,351,46,1,1699.99
352,352,72,1,169.99
353,353,66,1,849.99
354,354,65,1,1199.99
355,355,66,1,849.99
356,356,38,1,799.99
357,357,41,1,899.99
358,358,69,1,1799.99
359,359,3,1,249.99
360,360,47,1,999.99
361,361,23,1,1299.99
362,362,50,1,999.99
363,363,37,1,399.99
364,364,63,1,499.99
365,365,22,1,1299.99
366,366,49,1,1399.99
367,367,66,1,849.99
368,368,95,1,499.99
369,369,47,1,999.99
370,370,45,1,1499.99
371,371,77,1,499.99
372,372,74,1,399.99
373,373,30,1,129.99
374,374,48,1,1999.99
375,375,97,1,1299.99
376,376,95,1,499.99
377,377,57,1,699.99
378,378,78,1,799.99
379,379,5,1,249.99
380,380,83,1,699.99
381,381,26,1,2499.99
382,382,44,1,599.99
383,383,17,1,699.99
384,384,18,1,799.99
385,385,53,1,1899.99
386,386,55,1,649.99
387,387,99,1,599.99
388,388,90,1,3899.99
389,389,2,1,549.99
390,390,26,1,2499.99
391,391,58,1,249.99
392,392,12,1,599.99
393,393,93,1,1799.99
394,394,37,1,399.99
395,395,31,1,179.99
396,396,36,1,399.99
397,397,91,1,1099.99
398,398,68,1,1299.99
399,399,5,1,249.99
400,400,41,1,899.99
401,401,22,1,1299.99
402,402,46,1,1699.99
403,403,42,1,719.99
404,404,49,1,1399.99
405,405,3,1,249.99
406,406,26,1,2499.99
407,407,16,1,699.99
408,408,5,1,249.99
409,409,41,1,899.99
410,410,74,1,399.99
411,411,79,1,999.99
412,412,26,1,2499.99
413,413,72,1,169.99
414,414,70,1,399.99
415,415,12,1,599.99
416,416,23,1,1299.99
417,417,87,1,999.99
418,418,64,1,249.99
419,419,44,1,599.99
420,420,26,1,2499.99
421,421,20,1,999.99
422,422,65,1,1199.99
423,423,45,1,1499.99
424,424,75,1,399.99
425,425,43,1,2099.99
426,426,74,1,399.99
427,427,61,1,999.99
428,428,4,1,249.99
429,429,59,1,1199.99
430,430,91,1,1099.99
431,431,42,1,719.99
432,432,60,1,1299.99
